loss,supervised_loss,contrastive_loss,consistency_loss,time
3.5894,0.212,6.7546,0,2024-05-14 13:38:39
3.3435,0.0047,6.6777,0,2024-05-14 13:41:50
3.3385,0.0001,6.6768,0,2024-05-14 13:46:06
3.3375,0.0,6.6749,0,2024-05-14 13:50:23
3.3366,0.0,6.6731,0,2024-05-14 13:54:19
3.3358,0.0,6.6715,0,2024-05-14 14:00:17
3.3318,0.0,6.6636,0,2024-05-14 14:05:29
3.3306,0.0,6.6613,0,2024-05-14 14:09:46
3.3306,0.0,6.6612,0,2024-05-14 14:14:16
3.3306,0.0,6.6612,0,2024-05-14 14:18:24
3.3278,0.0,6.6555,0,2024-05-14 14:22:24
3.3246,0.0,6.6492,0,2024-05-14 14:27:16
3.3261,0.0,6.6522,0,2024-05-14 14:32:12
3.3231,0.0,6.6462,0,2024-05-14 14:36:23
3.324,0.0,6.648,0,2024-05-14 14:40:15
3.3252,0.0,6.6504,0,2024-05-14 14:44:20
3.3252,0.0,6.6504,0,2024-05-14 14:49:07
3.3256,0.0,6.6511,0,2024-05-14 14:53:23
3.325,0.0,6.65,0,2024-05-14 14:57:35
3.3228,0.0,6.6456,0,2024-05-14 15:01:23
3.3247,0.0,6.6495,0,2024-05-14 15:05:39
3.3233,0.0,6.6466,0,2024-05-14 15:09:23
3.3203,0.0,6.6405,0,2024-05-14 15:13:23
3.3203,0.0,6.6407,0,2024-05-14 15:17:36
3.3199,0.0,6.6398,0,2024-05-14 15:21:36
3.3235,0.0,6.647,0,2024-05-14 15:27:31
3.3236,0.0,6.6473,0,2024-05-14 15:32:00
3.3222,0.0,6.6445,0,2024-05-14 15:36:32
3.3207,0.0,6.6415,0,2024-05-14 15:41:03
3.3236,0.0,6.6472,0,2024-05-14 15:46:08
3.3259,0.0,6.6518,0,2024-05-14 15:51:32
3.3234,0.0,6.6467,0,2024-05-14 15:55:08
3.3225,0.0,6.6451,0,2024-05-14 15:58:40
3.3216,0.0,6.6433,0,2024-05-14 16:04:10
3.3207,0.0,6.6415,0,2024-05-14 16:08:17
3.3222,0.0,6.6443,0,2024-05-14 16:12:19
3.3206,0.0,6.6412,0,2024-05-14 16:22:58
3.3256,0.0,6.6511,0,2024-05-14 16:27:04
3.3227,0.0,6.6455,0,2024-05-14 17:08:09
3.3213,0.0,6.6427,0,2024-05-14 17:12:09
3.3198,0.0,6.6395,0,2024-05-14 17:16:27
3.3194,0.0,6.6388,0,2024-05-14 17:20:22
3.3206,0.0,6.6413,0,2024-05-14 17:24:28
3.321,0.0,6.6421,0,2024-05-14 17:28:30
3.3207,0.0,6.6414,0,2024-05-14 17:32:33
3.3229,0.0,6.6457,0,2024-05-14 17:38:33
3.3233,0.0,6.6466,0,2024-05-14 17:42:43
3.3221,0.0,6.6443,0,2024-05-14 17:47:50
3.3217,0.0,6.6433,0,2024-05-14 17:54:04
3.3229,0.0,6.6458,0,2024-05-14 17:58:04
3.3197,0.0,6.6395,0,2024-05-14 18:01:53
3.3186,0.0,6.6371,0,2024-05-14 18:06:17
3.3194,0.0000,6.6388,0,2024-05-14 18:11:18
